"","continent","year","lifeExp","country"
"1","Africa",1952,43.077,"Algeria"
"2","Africa",1957,45.685,"Algeria"
"3","Africa",1962,48.303,"Algeria"
"4","Africa",1967,51.407,"Algeria"
"5","Africa",1972,54.518,"Algeria"
"6","Africa",1977,58.014,"Algeria"
"7","Africa",1982,61.368,"Algeria"
"8","Africa",1987,65.799,"Algeria"
"9","Africa",1992,67.744,"Algeria"
"10","Africa",1997,69.152,"Algeria"
"11","Africa",2002,70.994,"Algeria"
"12","Africa",2007,72.301,"Algeria"
"13","Africa",1952,30.015,"Angola"
"14","Africa",1957,31.999,"Angola"
"15","Africa",1962,34,"Angola"
"16","Africa",1967,35.985,"Angola"
"17","Africa",1972,37.928,"Angola"
"18","Africa",1977,39.483,"Angola"
"19","Africa",1982,39.942,"Angola"
"20","Africa",1987,39.906,"Angola"
"21","Africa",1992,40.647,"Angola"
"22","Africa",1997,40.963,"Angola"
"23","Africa",2002,41.003,"Angola"
"24","Africa",2007,42.731,"Angola"
"25","Africa",1952,38.223,"Benin"
"26","Africa",1957,40.358,"Benin"
"27","Africa",1962,42.618,"Benin"
"28","Africa",1967,44.885,"Benin"
"29","Africa",1972,47.014,"Benin"
"30","Africa",1977,49.19,"Benin"
"31","Africa",1982,50.904,"Benin"
"32","Africa",1987,52.337,"Benin"
"33","Africa",1992,53.919,"Benin"
"34","Africa",1997,54.777,"Benin"
"35","Africa",2002,54.406,"Benin"
"36","Africa",2007,56.728,"Benin"
"37","Africa",1952,47.622,"Botswana"
"38","Africa",1957,49.618,"Botswana"
"39","Africa",1962,51.52,"Botswana"
"40","Africa",1967,53.298,"Botswana"
"41","Africa",1972,56.024,"Botswana"
"42","Africa",1977,59.319,"Botswana"
"43","Africa",1982,61.484,"Botswana"
"44","Africa",1987,63.622,"Botswana"
"45","Africa",1992,62.745,"Botswana"
"46","Africa",1997,52.556,"Botswana"
"47","Africa",2002,46.634,"Botswana"
"48","Africa",2007,50.728,"Botswana"
"49","Africa",1952,31.975,"Burkina Faso"
"50","Africa",1957,34.906,"Burkina Faso"
"51","Africa",1962,37.814,"Burkina Faso"
"52","Africa",1967,40.697,"Burkina Faso"
"53","Africa",1972,43.591,"Burkina Faso"
"54","Africa",1977,46.137,"Burkina Faso"
"55","Africa",1982,48.122,"Burkina Faso"
"56","Africa",1987,49.557,"Burkina Faso"
"57","Africa",1992,50.26,"Burkina Faso"
"58","Africa",1997,50.324,"Burkina Faso"
"59","Africa",2002,50.65,"Burkina Faso"
"60","Africa",2007,52.295,"Burkina Faso"
"61","Africa",1952,39.031,"Burundi"
"62","Africa",1957,40.533,"Burundi"
"63","Africa",1962,42.045,"Burundi"
"64","Africa",1967,43.548,"Burundi"
"65","Africa",1972,44.057,"Burundi"
"66","Africa",1977,45.91,"Burundi"
"67","Africa",1982,47.471,"Burundi"
"68","Africa",1987,48.211,"Burundi"
"69","Africa",1992,44.736,"Burundi"
"70","Africa",1997,45.326,"Burundi"
"71","Africa",2002,47.36,"Burundi"
"72","Africa",2007,49.58,"Burundi"
"73","Africa",1952,38.523,"Cameroon"
"74","Africa",1957,40.428,"Cameroon"
"75","Africa",1962,42.643,"Cameroon"
"76","Africa",1967,44.799,"Cameroon"
"77","Africa",1972,47.049,"Cameroon"
"78","Africa",1977,49.355,"Cameroon"
"79","Africa",1982,52.961,"Cameroon"
"80","Africa",1987,54.985,"Cameroon"
