rank,Artist,Link,No1Hits,Top10Hits,Songs
1,Barbra Streisand,https://www.billboard.com/music/barbra-streisand,5,12,41
2,Taylor Swift,https://www.billboard.com/music/taylor-swift,5,22,75
3,Mariah Carey,https://www.billboard.com/music/mariah-carey,18,27,48
4,Whitney Houston,https://www.billboard.com/music/whitney-houston,11,23,39
5,Madonna,https://www.billboard.com/music/madonna,12,38,57
6,Adele,https://www.billboard.com/music/adele,4,6,13
7,Celine Dion,https://www.billboard.com/music/celine-dion,4,10,21
8,Janet Jackson,https://www.billboard.com/music/janet-jackson,10,27,40
9,Miley Cyrus,https://www.billboard.com/music/miley-cyrus,1,9,45
10,Carole King,https://www.billboard.com/music/carole-king,1,4,15
11,Britney Spears,https://www.billboard.com/music/britney-spears,5,13,35
12,Carrie Underwood,https://www.billboard.com/music/carrie-underwood,1,4,32
13,Rihanna,https://www.billboard.com/music/rihanna,14,31,61
14,Beyonce,https://www.billboard.com/music/beyonce,5,18,58
15,Shania Twain,https://www.billboard.com/music/shania-twain,0,3,18
16,Alicia Keys,https://www.billboard.com/music/alicia-keys,4,9,24
17,The Supremes,https://www.billboard.com/music/the-supremes,12,20,45
18,Mary J. Blige,https://www.billboard.com/music/mary-j.-blige,1,6,40
19,Aretha Franklin,https://www.billboard.com/music/aretha-franklin,2,17,73
20,Linda Ronstadt,https://www.billboard.com/music/linda-ronstadt,1,10,34
21,Lady Gaga,https://www.billboard.com/music/lady-gaga,3,14,26
22,Norah Jones,https://www.billboard.com/music/norah-jones,0,0,2
23,P!nk,https://www.billboard.com/music/pnk,4,15,29
24,Dixie Chicks,https://www.billboard.com/music/dixie-chicks,0,3,17
25,Heart,https://www.billboard.com/music/heart,2,9,29
26,Carpenters,https://www.billboard.com/music/carpenters,3,12,27
27,Kelly Clarkson,https://www.billboard.com/music/kelly-clarkson,3,11,27
28,Paula Abdul,https://www.billboard.com/music/paula-abdul,6,8,15
29,Alanis Morissette,https://www.billboard.com/music/alanis-morissette,0,2,6
30,Donna Summer,https://www.billboard.com/music/donna-summer,4,14,32
31,Avril Lavigne,https://www.billboard.com/music/avril-lavigne,1,5,19
32,LeAnn Rimes,https://www.billboard.com/music/leann-rimes,0,1,12
33,Sade,https://www.billboard.com/music/sade,0,2,9
34,Roberta Flack,https://www.billboard.com/music/roberta-flack,3,6,18
35,Sheryl Crow,https://www.billboard.com/music/sheryl-crow,0,4,19
36,Olivia Newton-John,https://www.billboard.com/music/olivia-newton-john,5,15,38
37,Pat Benatar,https://www.billboard.com/music/pat-benatar,0,4,17
38,Katy Perry,https://www.billboard.com/music/katy-perry,9,14,28
39,No Doubt,https://www.billboard.com/music/no-doubt,0,3,8
40,Diana Ross,https://www.billboard.com/music/diana-ross,6,12,40
41,Destiny's Child,https://www.billboard.com/music/destinys-child,4,10,14
42,Bonnie Raitt,https://www.billboard.com/music/bonnie-raitt,0,1,11
43,TLC,https://www.billboard.com/music/tlc,4,9,16
44,Christina Aguilera,https://www.billboard.com/music/christina-aguilera,5,11,30
45,Carly Simon,https://www.billboard.com/music/carly-simon,1,5,24
46,Reba McEntire,https://www.billboard.com/music/reba-mcentire,0,0,16
47,Evanescence,https://www.billboard.com/music/evanescence,0,3,5
48,Joni Mitchell,https://www.billboard.com/music/joni-mitchell,0,1,9
49,Spice Girls,https://www.billboard.com/music/spice-girls,1,4,8
50,Toni Braxton,https://www.billboard.com/music/toni-braxton,2,6,13
